TIPO,VETA_POLIG,Toneladas,Ag (g/t),Au (g/t),Pot .(m),LEY AG-EQ,ONZAS,VPT AG,VPT AU,VLP,COSTO TOTAL,INGRESO,COSTO,MARGEN ANTES AVANCE,PU METRAJE,METROS POSIBLES,FR,DIL,Ton Dil,Ag Dil,Au Dil,VLP Dil,Pot Dil,Ag-eq Dil,Oz ag-eq dil,Ingreso Dil,Costo Dil,Margen Dil sin avance,Metros posibles Final,t dil * ag dil,t dil * au dil,t dil * pot dil,t dil * vlp dil,t dil * ag-eq dil,t dil * dil,t dil * fact recup,P-COD EVAL,P-COND-AG27-AU1800,PLAN,PRIORIDAD,PLAN_F
M+I,AmeliaPNM9253 A,425,225.96,0.88,0.90,301.98,4124,0.70807212,47.5981361,202.0708757,123.8,85841.72241,52591.47415,33250.24827,2200,15,0.4,0.267,215.2719854,178.3639954,0.697699125,159.5037501,1.138942673,238.3661201,1649.767644,34336.68897,26650.67179,7686.017174,3.49364417,38396.7714,150.1950757,193.5336806,34336.68897,51313.54791,57.4501203,86.10879416,-,-,PLAN 3,290,-
M+I,AndresPNM1929 A,737,261.33,0.99,1.04,346.38,8203,0.70807212,47.5981361,232.1138413,123.8,170974.9859,91191.0429,79783.94303,2200,36,0.4,0.135,334.4920885,230.1968218,0.87111136,204.4592286,1.175063925,305.1123987,3281.228269,68389.99437,41410.12055,26979.87381,12.26357901,76999.01568,291.379858,346.2206941,68389.99437,102057.6835,45.24251232,133.7968354,-,-,PLAN 3,202,-
M+I,AndresPNM1930 A,"1,072",505.93,1.37,1.30,623.72,21498,0.70807212,47.5981361,423.4267878,123.8,453932.3062,132719.0937,321213.2126,2200,146,0.4,0.185,508.0825592,427.0003524,1.155967309,357.3689339,1.538385264,526.413541,8599.081746,181572.9225,62900.62082,118672.3017,53.9419553,216951.4318,587.3268286,659.6869079,181572.9225,267461.5391,93.91651118,203.2330237,-,-,PLAN 3,67,3
M+I,AndresPNM1930 B,"1,078",245.21,0.83,3.96,316.87,10983,0.70807212,47.5981361,213.2854805,123.8,229935.7407,133464.522,96471.21873,2200,44,0.4,0.267,546.2155787,193.5865181,0.657828115,168.3846083,5.011398914,250.159736,4393.111546,91974.29629,67621.48864,24352.80765,11.06945802,105739.972,359.3159646,2161.046723,91974.29629,136641.145,145.6520053,218.4862315,-,-,PLAN 3,208,-
M+I,AndresPNM1930 D,"1,837",362.69,1.33,2.81,477.28,28193,0.70807212,47.5981361,320.2337417,123.8,588347.2914,227450.7186,360896.5727,2200,164,0.4,0.085,797.5228253,334.20585,1.227895347,295.0873744,3.051859816,439.8048499,11277.00762,235338.9166,98733.32577,136605.5908,62.09345036,266536.7937,979.2745667,2242.803581,235338.9166,350754.4064,67.96224978,319.0091301,-,-,PLAN 3,47,3
M+I,AndresPNM1932 A,184,586.49,1.43,0.81,709.69,4204,0.70807212,47.5981361,483.4668195,123.8,89079.92891,22810.44894,66269.47997,2200,30,0.4,0.295,95.47145319,452.7532967,1.105909409,373.221213,1.052486719,547.8615059,1681.647857,35631.97156,11819.3659,23812.60566,10.82391166,43225.01517,105.5827784,77.56928774,35631.97156,52305.13411,28.20125946,38.18858127,-,-,PLAN 3,210,-
M+I,AndresPNM1932 B,446,"1,368.50",3.98,1.20,"1,710.78",24541,0.70807212,47.5981361,1158.438371,123.8,516874.4232,55237.33948,461637.0837,2200,210,0.4,0.198,213.8827096,1141.93287,3.321125786,966.6502246,1.443876178,1427.549687,9816.522103,206749.7693,26478.67945,180271.0898,81.94140447,244239.6964,710.331382,257.6926611,206749.7693,305328.1952,42.43537887,85.55308384,-,-,PLAN 3,37,3
M+I,AndresPNM1932 C,"1,497",442.65,1.55,1.80,575.92,27720,0.70807212,47.5981361,387.1876135,123.8,579656.4863,185340.3118,394316.1745,2200,179,0.4,0.133,678.4539797,390.7048366,1.367788728,341.7513958,2.042369295,508.3346672,11088.19515,231862.5945,83992.60268,147869.9919,67.21363266,265075.2513,927.9817058,1223.048019,231862.5945,344881.678,90.20119036,271.3815919,-,-,PLAN 3,49,3
M+I,AndresPNM1932 D,"1,357",788.12,2.23,1.35,979.66,42751,0.70807212,47.5981361,664.0543214,123.8,901338.1057,168036.942,733301.1638,2200,333,0.4,0.178,639.8030344,668.7869269,1.889997627,563.5097411,1.585096335,831.3267228,17100.49865,360535.2423,79207.61566,281327.6266,127.8761939,427891.9052,1209.226217,860.5969014,360535.2423,531885.3599,114.1572592,255.9212138,-,-,PLAN 3,14,-
M+I,AndresPNM1932 E,918,676.47,1.90,0.92,839.90,24780,0.70807212,47.5981361,569.4407556,123.8,522547.6928,113605.1534,408942.5394,2200,186,0.4,0.262,463.1167771,536.1600355,1.506178393,451.3312569,1.157110841,665.6913774,9911.837743,209019.0771,57333.85701,151685.2201,68.94782732,248304.7077,697.5364833,424.7294168,209019.0771,308292.8452,121.1936677,185.2467109,-,-,PLAN 3,46,3
